iteration,n_genes,cv_acc,mean_shap,std_shap,dropped,top20
44,384,0.8947123223852783,0.020443318411707878,0.058995235711336136,"['FMO5', 'H2AJ', 'HDGFL3', 'HES6', 'HOPX']","['CCNB1', 'MELTF', 'PLOD2', 'ATP13A4', 'BMP7', 'CXCL14', 'CD99', 'NIBAN1', 'RASGRF1', 'TMPRSS2', 'CDK6', 'RPA1', 'SCUBE2', 'LBR', 'MARCO', 'CCND3', 'TMEM125', 'PRRX2', 'CPM', 'UBE2T']"
45,379,0.8947123223852783,0.020600296556949615,0.05719688534736633,"['HMGA1', 'HOXB2', 'HOXB7', 'HPN', 'IGF2BP2']","['MELTF', 'CCNB1', 'PLOD2', 'CD99', 'ATP13A4', 'BMP7', 'TMPRSS2', 'SCUBE2', 'CXCL14', 'GGTLC1', 'CPM', 'MALL', 'NIBAN1', 'MARCO', 'RPA1', 'PRRX2', 'UCK2', 'CDK6', 'RASGRF1', 'ADH1B']"
46,374,0.8822501747030049,0.02107389271259308,0.05755189433693886,"['IFI6', 'IFITM1', 'IL27RA', 'IPO8', 'IQGAP2']","['MELTF', 'CCNB1', 'BMP7', 'PLOD2', 'CXCL14', 'TMPRSS2', 'CD99', 'CDK6', 'MALL', 'RPA1', 'NIBAN1', 'RASGRF1', 'SCUBE2', 'MARCO', 'LBR', 'GGTLC1', 'ATP13A4', 'CYP4F11', 'CPM', 'TMPRSS6']"
47,369,0.9071744700675518,0.02127702906727791,0.05644576996564865,"['HOXB6', 'IPCEF1', 'ITGAV', 'ITGB3', 'ITGB6']","['MELTF', 'CCNB1', 'CD99', 'PLOD2', 'MALL', 'RASGRF1', 'BMP7', 'ATP13A4', 'TMPRSS2', 'CXCL14', 'SCUBE2', 'GGTLC1', 'CFTR', 'CDK6', 'UCK2', 'PRRX2', 'CPM', 'LBR', 'MARCO', 'RPA1']"
48,364,0.901001630561379,0.02125190570950508,0.057103440165519714,"['HSD17B6', 'IGFBPL1', 'IP6K3', 'ITGB8', 'ITIH2']","['CCNB1', 'PLOD2', 'MELTF', 'CDK6', 'BMP7', 'TMPRSS2', 'CD99', 'ATP13A4', 'RPA1', 'CXCL14', 'MALL', 'SCUBE2', 'RASGRF1', 'CYP4F11', 'PRRX2', 'ANLN', 'TMEM125', 'GGTLC1', 'MARCO', 'NIBAN1']"
49,359,0.901001630561379,0.02178572677075863,0.05905967205762863,"['HCLS1', 'ITIH5', 'IYD', 'KCP', 'KCTD14']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'PRRX2', 'BMP7', 'ATP13A4', 'SCUBE2', 'CXCL14', 'RASGRF1', 'MALL', 'CDK6', 'CPM', 'MARCO', 'TMPRSS2', 'CYP4F11', 'GGTLC1', 'RPA1', 'LBR', 'SC5D']"
50,354,0.8760773351968321,0.02201206609606743,0.058407772332429886,"['B3GNT8', 'IRAK3', 'ISG15', 'KCNJ15', 'KIT']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'CD99', 'CXCL14', 'ATP13A4', 'MALL', 'SCUBE2', 'RPA1', 'NIBAN1', 'TMPRSS2', 'MARCO', 'RASGRF1', 'CPM', 'UBE2T', 'CDK6', 'PRRX2', 'LBR', 'TMEM125']"
51,349,0.9071744700675518,0.022311175242066383,0.06050143390893936,"['IRS2', 'IRX2', 'KCNH2', 'KLHDC10', 'KLK10']","['CCNB1', 'MELTF', 'PLOD2', 'CDK6', 'CD99', 'CXCL14', 'BMP7', 'TMPRSS2', 'MARCO', 'ATP13A4', 'CPM', 'RPA1', 'RASGRF1', 'SCUBE2', 'PRRX2', 'GGTLC1', 'TMPRSS6', 'ADH1B', 'LFNG', 'MX2']"
52,344,0.8945958537153507,0.02292628400027752,0.05853085592389107,"['KHDRBS3', 'KREMEN1', 'KRT19', 'LAMP3', 'LDLRAD4']","['MELTF', 'CCNB1', 'PLOD2', 'CD99', 'SCUBE2', 'ATP13A4', 'BMP7', 'RASGRF1', 'CXCL14', 'MALL', 'RPA1', 'PRRX2', 'TMPRSS2', 'CFTR', 'GGTLC1', 'ANLN', 'MARCO', 'CDK6', 'LBR', 'CPM']"
53,339,0.9133473095737247,0.022862324491143227,0.05714123696088791,"['KLK11', 'LGALS1', 'LGI3', 'LINC00578', 'LINC00623']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'BMP7', 'TMPRSS2', 'RASGRF1', 'ATP13A4', 'CXCL14', 'SCUBE2', 'GGTLC1', 'MARCO', 'MALL', 'CDK6', 'CPM', 'LBR', 'PRRX2', 'TMEM125', 'UBE2T', 'TMPRSS6']"
